kns_committee_id,kns_session_id,protocol_object_name,protocol_extension,text_object_name,parts_object_name
922,575787,protocols/original/922/575787.doc,doc,protocols/parsed/922/575787.txt,protocols/parsed/922/575787.csv
935,2019016,protocols/original/935/2019016.doc,doc,protocols/parsed/935/2019016.txt,protocols/parsed/935/2019016.csv
198,275805,protocols/original/198/275805.doc,doc,protocols/parsed/198/275805.txt,protocols/parsed/198/275805.csv
660,335476,protocols/original/660/335476.doc,doc,protocols/parsed/660/335476.txt,protocols/parsed/660/335476.csv
190,176864,protocols/original/190/176864.doc,doc,protocols/parsed/190/176864.txt,protocols/parsed/190/176864.csv
196,267745,protocols/original/196/267745.doc,doc,protocols/parsed/196/267745.txt,protocols/parsed/196/267745.csv
681,435139,protocols/original/681/435139.doc,doc,protocols/parsed/681/435139.txt,protocols/parsed/681/435139.csv
654,435187,protocols/original/654/435187.doc,doc,protocols/parsed/654/435187.txt,protocols/parsed/654/435187.csv
652,361792,protocols/original/652/361792.doc,doc,protocols/parsed/652/361792.txt,protocols/parsed/652/361792.csv
658,328595,protocols/original/658/328595.doc,doc,protocols/parsed/658/328595.txt,protocols/parsed/658/328595.csv
199,296880,protocols/original/199/296880.doc,doc,protocols/parsed/199/296880.txt,protocols/parsed/199/296880.csv
668,407895,protocols/original/668/407895.doc,doc,protocols/parsed/668/407895.txt,protocols/parsed/668/407895.csv
23,86851,protocols/original/23/86851.doc,doc,protocols/parsed/23/86851.txt,protocols/parsed/23/86851.csv
659,474097,protocols/original/659/474097.doc,doc,protocols/parsed/659/474097.txt,protocols/parsed/659/474097.csv
222,177289,protocols/original/222/177289.doc,doc,protocols/parsed/222/177289.txt,protocols/parsed/222/177289.csv
654,428829,protocols/original/654/428829.doc,doc,protocols/parsed/654/428829.txt,protocols/parsed/654/428829.csv
654,323008,protocols/original/654/323008.doc,doc,protocols/parsed/654/323008.txt,protocols/parsed/654/323008.csv
195,293335,protocols/original/195/293335.doc,doc,protocols/parsed/195/293335.txt,protocols/parsed/195/293335.csv
27,122916,protocols/original/27/122916.doc,doc,protocols/parsed/27/122916.txt,protocols/parsed/27/122916.csv
148,123155,protocols/original/148/123155.doc,doc,protocols/parsed/148/123155.txt,protocols/parsed/148/123155.csv
196,184535,protocols/original/196/184535.doc,doc,protocols/parsed/196/184535.txt,protocols/parsed/196/184535.csv
200,257930,protocols/original/200/257930.doc,doc,protocols/parsed/200/257930.txt,protocols/parsed/200/257930.csv
190,282099,protocols/original/190/282099.doc,doc,protocols/parsed/190/282099.txt,protocols/parsed/190/282099.csv
684,335911,protocols/original/684/335911.doc,doc,protocols/parsed/684/335911.txt,protocols/parsed/684/335911.csv
24,124701,protocols/original/24/124701.doc,doc,protocols/parsed/24/124701.txt,protocols/parsed/24/124701.csv
195,181720,protocols/original/195/181720.doc,doc,protocols/parsed/195/181720.txt,protocols/parsed/195/181720.csv
922,569237,protocols/original/922/569237.doc,doc,protocols/parsed/922/569237.txt,protocols/parsed/922/569237.csv
